date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:44:23	80399/80399	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:44:16%20GMT	http://tieuhocyenso.edu.vn/tai-nguyen/khoi-22?isFeatured=1	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/tai-nguyen/khoi-22a428.html	(from http://tieuhocyenso.edu.vn/)
20:44:28	82906/82906	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:44:17%20GMT	http://tieuhocyenso.edu.vn/tai-nguyen/khoi-22/tranh-anh-suu-tam-mon-mi-thuat-lop-2	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/tai-nguyen/khoi-22/tranh-anh-suu-tam-mon-mi-thuat-lop-2.html	(from http://tieuhocyenso.edu.vn/)
20:44:29	83644/83644	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:44:19%20GMT	http://tieuhocyenso.edu.vn/tai-nguyen/khoi-32	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/tai-nguyen/khoi-32.html	(from http://tieuhocyenso.edu.vn/)
20:44:32	83688/83688	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:44:23%20GMT	http://tieuhocyenso.edu.vn/tai-nguyen/tai-lieu	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/tai-nguyen/tai-lieu.html	(from http://tieuhocyenso.edu.vn/)
20:44:38	83507/83507	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:44:29%20GMT	http://tieuhocyenso.edu.vn/tai-nguyen/van-ban-tu-so	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/tai-nguyen/van-ban-tu-so.html	(from http://tieuhocyenso.edu.vn/)
20:44:39	81437/81437	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:44:30%20GMT	http://tieuhocyenso.edu.vn/trang-chu/thu-vien-so?isFeatured=1	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/trang-chu/thu-vien-soa428.html	(from http://tieuhocyenso.edu.vn/)
20:44:42	84235/84235	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:44:33%20GMT	http://tieuhocyenso.edu.vn/trang-chu/thu-vien-so/cau-chuyen-thay-co-nho-em-khong-	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/trang-chu/thu-vien-so/cau-chuyen-thay-co-nho-em-khong-.html	(from http://tieuhocyenso.edu.vn/)
20:44:50	108645/108645	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:44:39%20GMT	http://tieuhocyenso.edu.vn/trang-chu/thu-vien-so/bai-tuyen-truyen-loi-ich-cua-viec-doc-sach	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/trang-chu/thu-vien-so/bai-tuyen-truyen-loi-ich-cua-viec-doc-sach.html	(from http://tieuhocyenso.edu.vn/)
20:44:53	82292/82292	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:44:43%20GMT	http://tieuhocyenso.edu.vn/trang-chu/thu-vien-so/ke-chuyen-theo-sach-su-tich-cay-vu-sua	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/trang-chu/thu-vien-so/ke-chuyen-theo-sach-su-tich-cay-vu-sua.html	(from http://tieuhocyenso.edu.vn/)
20:44:54	151528/151528	---MC-	200	added ('OK')	text/html	date:Sun,%2021%20Nov%202021%2013:44:40%20GMT	http://tieuhocyenso.edu.vn/trang-chu/thu-vien-so/thu-muc-the-gioi-co-tich	C:/My%20Web%20Sites/clone_web/tieuhocyenso.edu.vn/trang-chu/thu-vien-so/thu-muc-the-gioi-co-tich.html	(from http://tieuhocyenso.edu.vn/)
